epoch,train_loss,val_loss,val_pr_auc
0,0.6986379740913282,0.6930122971534729,0.6616621836170491
1,0.670770929064802,0.6919743418693542,0.6969488192212584
2,0.6577276104667281,0.6894756555557251,0.7351846166259106
3,0.660004526910816,0.6862500309944153,0.7591979823480375
4,0.6522257601488448,0.6782097220420837,0.7999444471088043
5,0.6589015245864895,0.6705663800239563,0.8190180693472463
6,0.6437995651716827,0.6588777899742126,0.8260932159664162
7,0.637260767507724,0.6738771200180054,0.792956683735076
8,0.597644045575118,0.7721227407455444,0.795314738284138
9,0.6243613507585286,0.7491703629493713,0.8334300340060549
10,0.6193656863704804,0.7537325024604797,0.7951393779827208
11,0.631119135246482,0.7680075168609619,0.7670047706560938
12,0.6206751937934575,0.6476081609725952,0.8114393753048332
13,0.6104876232403581,0.7822636365890503,0.7674455420243324
14,0.5863175392150879,0.5811700224876404,0.8023093091499238
15,0.5812517464374556,0.6818558573722839,0.8081516668842759
16,0.5888860956315072,0.5720037817955017,0.8619634051181547
17,0.5820718063675802,1.7703713178634644,0.7625821957121102
18,0.5683871909281686,1.123521327972412,0.7875883055699485
19,0.5991845590239357,1.7908458709716797,0.7874140658242313
20,0.5629978265386328,0.9165623188018799,0.8150749277508588
21,0.5721633987614758,0.5212578773498535,0.8262746624789739
22,0.5721491425695385,1.5699611902236938,0.8684703091687203
23,0.5259560557035562,0.746208131313324,0.8899863169273768
24,0.5441779244330621,1.2806957960128784,0.8541848606334068
25,0.5065972669363876,0.8717016577720642,0.8427752742194314
26,0.5012388032824335,0.5734224319458008,0.9163521003494107
27,0.4541786736057651,1.5634324550628662,0.83000832627179
28,0.4913900111097589,1.3682318925857544,0.9142049947889921
29,0.47575779317954964,1.3642576932907104,0.9373343963982135
